Station,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Line_1,Line_2
Addison Road,"3,798","4,076","3,939","3,897","3,674","3,759","3,626","3,544","3,358","3,345",Blue,
Anacostia,"7,118","7,778","7,642","7,681","7,719","7,774","7,479","7,598","7,342","7,256",Green,
Archives,"8,570","8,412","8,520","9,324","9,539","9,727","9,565","9,496","9,461","9,099",Green,Yellow
Arlington Cemetery,"1,752","1,821","1,889","2,081","1,970","1,889","1,866","1,827","1,768","1,744",Blue,
Ballston,"11,639","12,322","12,564","12,807","12,414","12,508","12,016","12,042","11,590","11,673",Blue,Orange
Benning Road,"3,240","3,392","3,288","3,382","3,316","3,399","3,241","3,183","3,163","3,200",Blue,
Bethesda,"9,946","10,530","10,738","10,968","10,730","10,605","10,765","10,888","10,608","10,875",Red,
Braddock Road,"4,202","4,316","4,327","4,506","4,593","4,524","4,559","4,484","4,408","4,631",Yellow,
Branch Avenue,"6,198","6,493","6,510","6,667","6,448","6,868","6,660","6,765","6,605","6,457",Green,
Brookland,"6,377","6,619","6,795","7,036","7,158","6,858","6,576","6,827","6,676","6,673",Red,
Capitol Heights,"1,972","2,123","2,137","2,225","2,221","2,241","2,150","2,374","2,105","2,102",Blue,
Capitol South,"8,303","8,455","8,452","8,900","9,414","9,639","9,194","8,047","8,618","8,287",Blue,Orange
Cheverly,"1,544","1,554","1,609","1,629","1,548","1,571","1,543","1,546","1,547","1,493",Orange,
Clarendon,"3,752","4,065","4,166","4,406","4,355","4,335","4,414","4,838","4,829","4,667",Orange,
Cleveland Park,"4,831","5,082","4,976","5,010","4,807","4,656","4,676","4,700","4,731","4,514",Red,
College Park,"3,635","4,203","4,431","4,723","4,627","4,720","4,768","4,619","4,454","4,604",Green,
Columbia Heights,"6,596","7,330","8,441","10,168","11,375","11,990","12,386","12,860","12,891","12,755",Green,Yellow
Congress Heights,"2,371","2,524","2,556","2,723","2,722","2,826","2,819","3,035","3,030","2,732",Green,
Court House,"7,356","7,413","7,405","7,381","7,385","7,578","7,483","7,475","7,690","7,653",Orange,
Crystal City,"12,809","13,324","14,158","15,028","14,748","14,952","15,187","13,592","12,594","11,959",Blue,Yellow
Deanwood,"1,828","1,892","1,827","1,978","1,960","1,909","1,844","1,829","1,754","1,664",Orange,
Dunn Loring,"5,024","5,353","5,491","5,502","5,304","5,371","5,310","5,239","4,958","5,347",Orange,
Dupont Circle,"23,196","23,700","24,149","24,591","23,561","22,907","22,721","18,830","21,084","20,889",Red,
East Falls Church,"3,994","4,238","4,246","4,306","4,202","4,134","4,102","4,287","4,108","4,163",Orange,
Eastern Market,"5,542","5,822","5,875","5,960","6,038","6,308","6,262","6,193","6,382","6,261",Blue,Orange
Eisenhower Ave,"1,788","1,951","2,037","2,164","2,496","2,399","2,094","2,080","1,951","1,919",Yellow,
Farragut North,"25,571","26,624","26,934","26,506","25,311","24,105","23,795","26,773","25,351","25,398",Red,
Farragut West,"24,149","24,179","24,121","23,190","22,469","23,137","22,575","22,918","22,545","23,147",Blue,Orange
Federal Center SW,"5,300","5,293","5,307","6,062","5,902","5,951","6,011","6,439","5,736","5,399",Blue,Orange
Federal Triangle,"11,166","10,883","10,429","10,603","11,108","10,756","10,258","9,879","9,052","8,498",Blue,Orange
Foggy BottomGWU,"19,846","20,355","20,560","21,248","20,923","21,587","21,318","22,827","22,512","22,053",Blue,Orange
Forest Glen,"2,082","2,170","2,302","2,409","2,514","2,366","2,365","2,448","2,443","2,442",Red,
Fort Totten,"6,280","6,665","6,877","7,071","7,198","7,543","7,364","7,636","7,853","7,976",Red,Green
Franconia/Springfield,"9,416","9,857","9,769","9,823","9,591","9,665","9,543","9,089","8,306","8,175",Blue,
Friendship Heights,"9,268","9,771","9,713","10,189","9,696","9,804","9,957","9,671","9,703","9,620",Red,
Gallery Place/Chinatown,"19,474","20,673","21,921","25,136","25,747","25,894","25,778","26,587","25,820","25,780",Green,Red
Georgia Avenue,"4,396","4,745","4,808","5,041","5,399","5,855","6,027","6,305","6,290","6,408",Green,
Glenmont,"5,664","5,944","6,096","6,117","5,966","5,857","5,850","6,190","6,149","6,270",Red,
Greenbelt,"7,005","7,305","7,331","7,432","7,397","7,294","6,923","6,940","6,757","6,541",Green,
Grosvenor,"5,428","5,578","5,642","5,817","5,948","5,843","5,876","5,862","5,857","5,795",Red,
Huntington,"8,375","8,648","8,601","8,834","8,847","8,760","9,184","9,060","8,571","8,314",Yellow,
Judiciary Square,"10,324","10,308","10,115","10,234","10,369","9,951","9,643","9,253","9,166","8,960",Red,
King Street,"8,242","8,739","9,084","9,510","9,308","8,991","9,306","9,090","9,054","9,170",Blue,Yellow
Landover,"2,917","2,771","2,796","2,763","2,593","2,570","2,478","2,336","2,191","2,087",Orange,
Largo Town Center,"4,294","4,826","5,015","5,195","5,112","5,283","5,111","5,159","4,874","4,912",Blue,
L'Enfant Plaza,"21,878","21,848","21,924","20,269","21,705","22,563","22,068","21,926","20,761","20,222",Green,Blue
McPherson Square,"16,047","16,383","16,441","16,959","17,009","17,370","16,873","16,845","16,234","16,212",Blue,Orange
Medical Center,"5,125","5,100","5,256","5,346","5,627","5,574","5,866","6,010","6,221","5,988",Red,
Metro Center,"28,983","29,564","29,798","30,615","30,569","29,698","28,983","28,802","28,039","27,883",Red,Orange
Minnesota Ave,"3,140","3,480","3,488","3,552","3,461","3,410","3,274","3,257","3,110","3,005",Orange,
Morgan Blvd,,,,,,,"1,736","2,290","1,929","2,036",Blue,
Mt Vernon Sq,"3,358","3,615","3,633","3,990","3,634","3,888","3,813","4,263","4,293","4,541",Green,Yellow
Nat'l Airport (Regan),"6,024","6,220","6,458","6,344","6,349","6,414","6,739","6,341","6,561","6,732",Blue,Yellow
Navy Yard,"3,048","3,238","4,243","9,768","9,113","9,156","8,249","9,884","9,229","10,514",Green,
Naylor Road,"3,194","3,402","3,325","3,260","3,144","3,165","3,047","3,175","3,100","3,035",Green,
New Carrollton,"9,091","10,006","10,436","10,625","10,118","10,287","9,940","9,839","9,242","9,098",Orange,
NoMa,"2,177","2,945","3,489","4,603","5,229","5,673","7,461","8,019","8,456","8,412",Red,
Pentagon,"15,171","15,893","15,968","16,055","16,318","16,726","16,999","17,114","16,324","15,853",Blue,Yellow
Pentagon City,"15,783","16,176","16,339","16,803","16,503","17,197","17,023","16,382","15,589","15,623",Blue,Yellow
Potomac Ave,"3,421","3,651","3,583","3,824","4,098","4,144","4,050","3,978","3,869","3,834",Blue,Orange
Prince George's Plaza,"4,637","4,872","4,903","5,034","5,093","5,309","5,374","5,336","5,120","5,133",Green,
Rhode Island Ave,"5,491","5,757","6,046","6,144","6,121","5,651","5,227","5,645","5,896","6,070",Red,
Rockville,"4,237","4,365","4,572","4,736","4,880","4,927","4,812","4,834","4,900","4,769",Red,
Rosslyn,"16,224","16,770","15,462","17,760","16,941","18,122","17,158","16,718","15,632","15,460",Blue,Orange
Shady Grove,"13,360","13,894","14,439","14,390","14,107","13,945","13,856","13,870","13,444","13,308",Red,
Shaw,"3,450","3,679","3,804","4,029","4,256","4,290","4,439","4,696","4,751","5,044",Green,
Silver Spring,"13,078","14,032","14,777","15,155","14,077","13,421","13,471","13,621","13,057","13,195",Red,
Smithsonian,"12,234","12,465","11,597","12,027","12,764","12,895","12,603","11,946","10,786","10,911",Blue,Orange
Southern Avenue,"5,916","6,278","6,356","6,537","6,263","5,931","5,776","5,909","5,523","5,349",Green,
Stadium,"5,608","5,341","5,329","3,235","3,062","3,559","3,077","3,069","2,873","3,022",Blue,Orange
Suitland,"6,039","6,214","6,510","6,631","6,453","6,668","6,417","6,396","5,924","5,677",Green,
Takoma,"6,201","6,362","6,466","6,664","6,811","6,685","6,488","6,143","5,823","5,813",Red,
Tenleytown,"6,687","7,563","7,493","7,401","7,290","7,091","6,677","7,220","7,074","6,736",Red,
Twinbrook,"4,531","4,763","4,805","4,943","4,628","4,587","4,773","4,632","4,569","4,470",Red,
U Street,"4,790","5,406","5,934","6,567","7,115","7,183","7,048","7,238","7,501","7,968",Green,
Union Station,"31,864","32,596","32,935","34,383","34,465","32,745","33,697","33,250","32,975","32,465",Red,
Van Dorn Street,"3,679","3,835","3,825","3,828","3,689","3,792","3,653","3,587","3,380","3,374",Blue,
Van Ness,"7,094","7,462","7,730","7,648","7,276","7,155","7,559","6,699","6,414","6,505",Red,
Vienna,"12,832","13,177","13,143","13,642","13,759","13,967","13,682","13,773","13,141","12,947",Orange,
Virginia Square,"3,289","3,608","3,886","4,016","4,067","4,103","3,953","3,733","3,695","3,721",Orange,
Waterfront,"3,146","3,163","3,201","3,175","3,067","3,974","4,236","4,536","4,347","4,024",Green,
West Falls Church,"9,649","10,124","10,290","10,748","10,499","10,836","10,740","10,891","10,369","10,597",Orange,
West Hyattsville,"3,415","3,656","3,839","3,925","3,694","3,809","3,855","3,951","3,905","3,995",Green,
Wheaton,"4,468","4,887","4,874","4,754","4,653","4,543","4,472","4,374","4,094","4,227",Red,
White Flint,"3,682","3,714","4,010","4,097","4,096","4,210","4,266","4,151","3,951","3,889",Red,
Woodley Park,"7,566","8,077","8,471","8,726","8,292","7,607","7,864","7,915","7,734","7,240",Red,
Total,"686,185","713,703","724,667","750,431","746,017","748,929","743,962","744,918","725,770","721,804",,