Year,Month,Labor Force,Employment,Unemployment,Unemp_Rate
2000,Jan,2058684,1996690,61994,3
2000,Feb,2069837,2006263,63574,3.1
2000,Mar,2078715,2018739,59976,2.9
2000,Apr,2084676,2034618,50058,2.4
2000,May,2083929,2026568,57361,2.8
2000,Jun,2110601,2048105,62496,3
2000,Jul,2130483,2070111,60372,2.8
2000,Aug,2106314,2046164,60150,2.9
2000,Sep,2092774,2035592,57182,2.7
2000,Oct,2110033,2056520,53513,2.5
2000,Nov,2119517,2066403,53114,2.5
2000,Dec,2137123,2085233,51890,2.4
2001,Jan,2118384,2057411,60973,2.9
2001,Feb,2122827,2058506,64321,3
2001,Mar,2135606,2071116,64490,3
2001,Apr,2119267,2059908,59359,2.8
2001,May,2128783,2064111,64672,3
2001,Jun,2147301,2071446,75855,3.5
2001,Jul,2168419,2093935,74484,3.4
2001,Aug,2134536,2053972,80564,3.8
2001,Sep,2123719,2043180,80539,3.8
2001,Oct,2137575,2052421,85154,4
2001,Nov,2130668,2043976,86692,4.1
2001,Dec,2132426,2049387,83039,3.9
2002,Jan,2124681,2031267,93414,4.4
2002,Feb,2145220,2052303,92917,4.3
2002,Mar,2150063,2058924,91139,4.2
2002,Apr,2148098,2061376,86722,4
2002,May,2157568,2068860,88708,4.1
2002,Jun,2172684,2077304,95380,4.4
2002,Jul,2188944,2097487,91457,4.2
2002,Aug,2169808,2078957,90851,4.2
2002,Sep,2158892,2074338,84554,3.9
2002,Oct,2158133,2075970,82163,3.8
2002,Nov,2149920,2065286,84634,3.9
2002,Dec,2152710,2069537,83173,3.9
2003,Jan,2146972,2055426,91546,4.3
2003,Feb,2156665,2063509,93156,4.3
2003,Mar,2163187,2073477,89710,4.1
2003,Apr,2169792,2086992,82800,3.8
2003,May,2174149,2087806,86343,4
2003,Jun,2200475,2102301,98174,4.5
2003,Jul,2212766,2122116,90650,4.1
2003,Aug,2181954,2094497,87457,4
2003,Sep,2166892,2083434,83458,3.9
2003,Oct,2174111,2093950,80161,3.7
2003,Nov,2177130,2095875,81255,3.7
2003,Dec,2173851,2096376,77475,3.6
2004,Jan,2182423,2093638,88785,4.1
2004,Feb,2191490,2103562,87928,4
2004,Mar,2199741,2111522,88219,4
2004,Apr,2196112,2116428,79684,3.6
2004,May,2206660,2122053,84607,3.8
2004,Jun,2232260,2137057,95203,4.3
2004,Jul,2258264,2166297,91967,4.1
2004,Aug,2237785,2149148,88637,4
2004,Sep,2218719,2135697,83022,3.7
2004,Oct,2235507,2153249,82258,3.7
2004,Nov,2241120,2157733,83387,3.7
2004,Dec,2237833,2156816,81017,3.6
2005,Jan,2232009,2143391,88618,4
2005,Feb,2240829,2151245,89584,4
2005,Mar,2249312,2165020,84292,3.7
2005,Apr,2258952,2180108,78844,3.5
2005,May,2276890,2193175,83715,3.7
2005,Jun,2297040,2207361,89679,3.9
2005,Jul,2325522,2242164,83358,3.6
2005,Aug,2305096,2225087,80009,3.5
2005,Sep,2288057,2210189,77868,3.4
2005,Oct,2295455,2221592,73863,3.2
2005,Nov,2293257,2219472,73785,3.2
2005,Dec,2294005,2225786,68219,3
2006,Jan,2288379,2213795,74584,3.3
2006,Feb,2296308,2220764,75544,3.3
2006,Mar,2307120,2235193,71927,3.1
2006,Apr,2304475,2235641,68834,3
2006,May,2319770,2246464,73306,3.2
2006,Jun,2347220,2265104,82116,3.5
2006,Jul,2366416,2284457,81959,3.5
2006,Aug,2344332,2265423,78909,3.4
2006,Sep,2331484,2256315,75169,3.2
2006,Oct,2340199,2270375,69824,3
2006,Nov,2340069,2269686,70383,3
2006,Dec,2341799,2273591,68208,2.9
2007,Jan,2333247,2256322,76925,3.3
2007,Feb,2334434,2261142,73292,3.1
2007,Mar,2345730,2277045,68685,2.9
2007,Apr,2339592,2275881,63711,2.7
2007,May,2349268,2282162,67106,2.9
2007,Jun,2373635,2297494,76141,3.2
2007,Jul,2397899,2322568,75331,3.1
2007,Aug,2363886,2291551,72335,3.1
2007,Sep,2359298,2287909,71389,3
2007,Oct,2372246,2302005,70241,3
2007,Nov,2379640,2309912,69728,2.9
2007,Dec,2376397,2304251,72146,3
2008,Jan,2379353,2297639,81714,3.4
2008,Feb,2380328,2300899,79429,3.3
2008,Mar,2396984,2317720,79264,3.3
2008,Apr,2405470,2332543,72927,3
2008,May,2418707,2333932,84775,3.5
2008,Jun,2437379,2343276,94103,3.9
2008,Jul,2470501,2373485,97016,3.9
2008,Aug,2440403,2342300,98103,4
2008,Sep,2421986,2325872,96114,4
2008,Oct,2432511,2333279,99232,4.1
2008,Nov,2424754,2321870,102884,4.2
2008,Dec,2419947,2309155,110792,4.6
2009,Jan,2412597,2280901,131696,5.5
2009,Feb,2417775,2277928,139847,5.8
2009,Mar,2419498,2279200,140298,5.8
2009,Apr,2421587,2286978,134609,5.6
2009,May,2429719,2283815,145904,6
2009,Jun,2448933,2293518,155415,6.3
2009,Jul,2476864,2322370,154494,6.2
2009,Aug,2441422,2288896,152526,6.2
2009,Sep,2415356,2262066,153290,6.3
2009,Oct,2426557,2272100,154457,6.4
2009,Nov,2432104,2280025,152079,6.3
2009,Dec,2419275,2263805,155470,6.4
2010,Jan,2434916,2263036,171880,7.1
2010,Feb,2432282,2260754,171528,7.1
2010,Mar,2454906,2285120,169786,6.9
2010,Apr,2474923,2321134,153789,6.2
2010,May,2485869,2327269,158600,6.4
2010,Jun,2499076,2335186,163890,6.6
2010,Jul,2527313,2362331,164982,6.5
2010,Aug,2493907,2333059,160848,6.4
2010,Sep,2486442,2330694,155748,6.3
2010,Oct,2486841,2334003,152838,6.1
2010,Nov,2491634,2337772,153862,6.2
2010,Dec,2493142,2342821,150321,6
2011,Jan,2500490,2338754,161736,6.5
2011,Feb,2502603,2342526,160077,6.4
2011,Mar,2513632,2357306,156326,6.2
2011,Apr,2508566,2361556,147010,5.9
2011,May,2517674,2362283,155391,6.2
2011,Jun,2534911,2366268,168643,6.7
2011,Jul,2557445,2391596,165849,6.5
2011,Aug,2532662,2367649,165013,6.5
2011,Sep,2533264,2370437,162827,6.4
2011,Oct,2532827,2376872,155955,6.2
2011,Nov,2530626,2381760,148866,5.9
2011,Dec,2529356,2378892,150464,5.9
2012,Jan,2530548,2372082,158466,6.3
2012,Feb,2542253,2381853,160400,6.3
2012,Mar,2552020,2399168,152852,6
2012,Apr,2538413,2399348,139065,5.5
2012,May,2557835,2409489,148346,5.8
2012,Jun,2578598,2419641,158957,6.2
2012,Jul,2591568,2433262,158306,6.1
2012,Aug,2558818,2406597,152221,5.9
2012,Sep,2566424,2419930,146494,5.7
2012,Oct,2579235,2435295,143940,5.6
2012,Nov,2569317,2429368,139949,5.4
2012,Dec,2564701,2421416,143285,5.6
2013,Jan,2566564,2412640,153924,6
2013,Feb,2569746,2420003,149743,5.8
2013,Mar,2572471,2429418,143053,5.6
2013,Apr,2574374,2440036,134338,5.2
2013,May,2590152,2445498,144654,5.6
2013,Jun,2603394,2446717,156677,6
2013,Jul,2617387,2465225,152162,5.8
2013,Aug,2580392,2434107,146285,5.7
2013,Sep,2574591,2431272,143319,5.6
2013,Oct,2571710,2421394,150316,5.8
2013,Nov,2574563,2439761,134802,5.2
2013,Dec,2562850,2433104,129746,5.1
2014,Jan,2576249,2436428,139821,5.4
2014,Feb,2582906,2441142,141764,5.5
2014,Mar,2592207,2453421,138786,5.4
2014,Apr,2580003,2456914,123089,4.8
2014,May,2594221,2460731,133490,5.1
2014,Jun,2608995,2469069,139926,5.4
2014,Jul,2628472,2485401,143071,5.4
2014,Aug,2593056,2452214,140842,5.4
2014,Sep,2580198,2448615,131583,5.1
2014,Oct,2593282,2467452,125830,4.9
2014,Nov,2586006,2463677,122329,4.7
2014,Dec,2571377,2454244,117133,4.6
2015,Jan,2592501,2463073,129428,5